Height,Width,Predicted_Weight
31,4.0,LinearRegression()
33,4.0,LinearRegression()
28,4.0,LinearRegression()
38,3.5,LinearRegression()
31,3.0,LinearRegression()
36,4.0,LinearRegression()
32,4.0,LinearRegression()
32,4.0,LinearRegression()
36,4.0,LinearRegression()
41,3.5,LinearRegression()
29,4.0,LinearRegression()
24,4.0,LinearRegression()
26,3.0,LinearRegression()
35,4.0,LinearRegression()
47,4.0,LinearRegression()
24,3.5,LinearRegression()
31,4.0,LinearRegression()
41,3.0,LinearRegression()
29,4.0,LinearRegression()
37,3.5,LinearRegression()
12,4.0,LinearRegression()
4,3.0,LinearRegression()
25,3.0,LinearRegression()
27,4.0,LinearRegression()
21,4.0,LinearRegression()
38,4.0,LinearRegression()
39,4.0,LinearRegression()
32,3.5,LinearRegression()
35,4.0,LinearRegression()
39,3.5,LinearRegression()
